stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening E:\_____VisualStudio_Projects\GameFromScratch\Allegro_Project\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.17733] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17737] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.17740] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17744] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.17746] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17750] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.17753] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17757] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.17760] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17764] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.17767] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17771] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.17773] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17777] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.17780] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17784] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.17786] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17790] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.17793] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17797] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.17800] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17804] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.17806] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17810] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.17813] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17817] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.17820] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17824] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.17827] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17831] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.17834] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17837] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.17840] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17844] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.17847] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17851] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.17854] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.17857] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17861] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.17865] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17868] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17872] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17875] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17878] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17881] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17884] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17887] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.17891] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17894] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.17897] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17900] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17904] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17906] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17911] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17914] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17917] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17920] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.17924] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17927] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.17930] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17933] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17937] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17940] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17943] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17946] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17949] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17952] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.17956] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17965] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.17969] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17972] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17976] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17979] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17982] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17985] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17989] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17992] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.17995] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17998] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18002] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18005] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18008] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18011] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18015] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18018] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18021] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18024] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18027] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18030] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18034] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18036] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18040] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18042] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18046] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18048] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
